Sku,WebSku,ProdReference,Size,Capacity,ColorDesc1,ColorHex1,ColorDesc2,ColorHex2,ColorCode,OptionalImage1,OptionalImage2,YourPrice,MinQt1,Price1,MinQt2,Price2,MinQt3,Price3,MinQt4,Price4,MinQt5,Price5,MinQt6,Price6,MinQt7,Price7,MinQt8,Price8,MinQt9,Price9,MinQt10,Price10
97357-106,97357-106,97357,,,Branco,#FFFFFF,,,106,97357_106.jpg,,,1.0,17.0,50.0,16.83,255.0,16.58,510.0,16.32,2550.0,15.9,,,,,,,,,,
97357-114,97357-114,97357,,,Azul royal,#3C53A0,,,114,97357_114.jpg,,,1.0,17.0,50.0,16.83,255.0,16.58,510.0,16.32,2550.0,15.9,,,,,,,,,,
97366-103,97366-103,97366,,,Preto,#000000,,,103,97366_103.jpg,,,1.0,4.5,255.0,4.41,1050.0,4.34,2550.0,4.28,5100.0,4.2,,,,,,,,,,
97367-103,97367-103,97367,,,Preto,#000000,,,103,97367_103.jpg,,,1.0,1.7,510.0,1.68,2550.0,1.66,5100.0,1.63,10100.0,1.6,,,,,,,,,,
97367-105,97367-105,97367,,,Vermelho,#DD2A34,,,105,97367_105.jpg,,,1.0,1.7,510.0,1.68,2550.0,1.66,5100.0,1.63,10100.0,1.6,,,,,,,,,,
97367-106,97367-106,97367,,,Branco,#FFFFFF,,,106,97367_106.jpg,,,1.0,1.7,510.0,1.68,2550.0,1.66,5100.0,1.63,10100.0,1.6,,,,,,,,,,
97367-114,97367-114,97367,,,Azul royal,#3C53A0,,,114,97367_114.jpg,,,1.0,1.7,510.0,1.68,2550.0,1.66,5100.0,1.63,10100.0,1.6,,,,,,,,,,
97367-119,97367-119,97367,,,Verde claro,#C0E000,,,119,97367_119.jpg,,,1.0,1.7,510.0,1.68,2550.0,1.66,5100.0,1.63,10100.0,1.6,,,,,,,,,,
97371-103,97371-103,97371,,,Preto,#000000,,,103,97371_103.jpg,,,1.0,62.0,10.0,60.76,50.0,59.83,105.0,58.9,510.0,57.5,,,,,,,,,,
97376-103,97376-103,97376,,,Preto,#000000,,,103,97376_103.jpg,,9.9,1.0,9.9,,,,,,,,,,,,,,,,,,
97376-104,97376-104,97376,,,Azul,#1F3C75,,,104,97376_104.jpg,,9.9,1.0,9.9,,,,,,,,,,,,,,,,,,
